Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHHF', 'FHHG']"
1,64,0,1.0,0.8947894553945313,"['SFHF', 'HFFF', 'FFHF', 'FHFG']"
1,10,0,1.0,0.93603800616986,"['SFFH', 'FFHF', 'FFFH', 'FFFG']"
1,54,0,1.0,0.93603800616986,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,57,0,1.0,0.9445131481500655,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,45,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,74,0,1.0,0.9001824484431542,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,57,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'HFFH', 'HFFG']"
1,69,0,1.0,0.9616943356035061,"['SFFH', 'FHHF', 'FFFF', 'FHFG']"
1,40,0,1.0,0.9304302024748964,"['SFFF', 'HHFH', 'FHFH', 'HFFG']"
1,36,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HFHG']"
1,98,0,1.0,0.9473552137914398,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,69,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FFHF', 'FFHG']"
1,84,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'FFFG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HFHH', 'HFFG']"
1,54,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HFFH', 'HHFG']"
1,77,0,1.0,0.9645880999032158,"['SFHF', 'FFHF', 'HFHF', 'FFFG']"
1,37,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HFHG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,54,0,1.0,0.9445131481500655,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,90,0,1.0,0.9645880999032158,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,90,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
