Temperature,Simulations,Return,Discounted Return,Map
1,59,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,21,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,34,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'FFHF', 'HFHG']"
1,46,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHFG']"
1,85,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,10,0,1.0,0.9416796087056153,"['SFFF', 'FHHF', 'HHFF', 'HHFG']"
1,34,0,1.0,0.9445131481500655,"['SFHF', 'HFFH', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'HFFH', 'FFFG']"
1,7,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FFFF', 'FFHG']"
1,85,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,22,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,50,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,37,0,1.0,0.8947894553945313,"['SHFH', 'FHHH', 'FHHH', 'FFFG']"
1,57,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,26,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHFF', 'HHFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FHHG']"
