Temperature,Simulations,Return,Discounted Return,Map
1,71,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FFFF', 'FHFG']"
1,65,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'HHHF', 'FFFG']"
1,29,0,1.0,0.9502058312852957,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HHHG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FHFG']"
1,99,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'HFHF', 'FHHG']"
1,72,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'FHHF', 'FFHG']"
1,95,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'HFFG']"
1,43,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFF', 'HHFG']"
1,22,0,1.0,0.8657003616774767,"['SHFF', 'FFHH', 'FFFF', 'FHFG']"
1,26,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'HFFF', 'FFFG']"
1,13,0,0.0,0.0,"['SFFF', 'FFFF', 'HHFH', 'FHFG']"
1,83,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'FFFF', 'FHHG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFF', 'FHFG']"
1,47,0,1.0,0.7449472384453084,"['SFHH', 'FFFF', 'HHFH', 'HFFG']"
1,14,0,1.0,0.7449472384453084,"['SFHH', 'HFFF', 'FHFF', 'FHFG']"
1,89,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
1,17,0,1.0,0.8426049842298329,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
