Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,87,0,1.0,0.8127667407072335,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,28,0,1.0,0.7584982177744161,"['SFFF', 'FFHH', 'HFHH', 'HFFG']"
1,18,0,1.0,0.9220814271464737,"['SFFH', 'HFFH', 'FHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,91,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,97,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,80,0,1.0,0.9762504936564125,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,67,0,1.0,0.9502058312852957,"['SFHF', 'HFHH', 'HFFF', 'HFFG']"
1,41,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'HFFG']"
1,43,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HFHF', 'FFFG']"
1,55,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFFG']"
1,30,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,16,0,1.0,0.8127667407072335,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,24,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,44,0,1.0,0.9332298921513504,"['SFFH', 'HFFH', 'FFHF', 'FFFG']"
1,40,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,29,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHH', 'FFFG']"
1,98,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,6,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,61,0,1.0,0.8709180316048211,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,100,0,1.0,0.9821344612135428,"['SFHF', 'FHHF', 'FFFF', 'FFFG']"
1,17,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'FFFF', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SHFH', 'FFHF', 'HFFH', 'FFFG']"
1,54,0,1.0,0.9248559951318693,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,62,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,79,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'FFFG']"
1,26,0,1.0,0.8921050870283477,"['SFFH', 'HFHF', 'FFFF', 'FHFG']"
1,25,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,62,0,1.0,0.8426049842298329,"['SHFF', 'FHFF', 'FFFF', 'HFHG']"
