Temperature,Simulations,Return,Discounted Return,Map
1,95,0,1.0,0.9733217421754432,"['SFHF', 'FHFH', 'FFFF', 'FFFG']"
1,23,0,1.0,0.9445131481500655,"['SFFH', 'HFHH', 'HFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFH', 'HHFG']"
1,69,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'HHHF', 'HHFG']"
1,42,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FFFF', 'FFFG']"
1,59,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'HFHF', 'FFFG']"
1,36,0,1.0,0.8761671489944468,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,31,0,1.0,0.9704017769489168,"['SHHF', 'FFHH', 'FFFF', 'HFFG']"
1,93,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHHG']"
1,49,0,1.0,0.9733217421754432,"['SHFH', 'FFHF', 'FFFH', 'FFFG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFH', 'HHFG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,80,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,9,0,1.0,0.8103284404851119,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,30,0,1.0,0.8921050870283477,"['SFFH', 'FFFH', 'HFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FFFG']"
1,24,0,1.0,0.9559328248389055,"['SHFF', 'FFHH', 'FFFH', 'FFFG']"
1,48,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,86,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'HFHH', 'HFFG']"
1,19,0,1.0,0.9388545698794984,"['SHFH', 'FHHH', 'FHFF', 'FFFG']"
1,98,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFFF', 'FFFG']"
1,56,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHHG']"
1,31,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FHHG']"
1,99,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
1,53,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,35,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,53,0,1.0,0.8683052775100066,"['SFHF', 'HFFF', 'HHHF', 'FFFG']"
1,90,0,1.0,0.9530650263643888,"['SFHH', 'FHFH', 'FHHF', 'FFFG']"
1,30,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFFF', 'HFFH', 'HFFF', 'HHHG']"
1,78,0,1.0,0.8894287717672626,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHFF', 'FFHG']"
1,52,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFH', 'HHFG']"
1,94,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'FHFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'FHFG']"
