Temperature,Simulations,Return,Discounted Return,Map
1,78,0,1.0,0.9083329444789534,"['SFHH', 'FFFH', 'HFHH', 'FFFG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,72,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'FFHH', 'FFFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFH', 'HHFG']"
1,65,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFF', 'FFHF', 'FFFF', 'FHFG']"
1,69,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FHHF', 'HHFG']"
1,70,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FFHH', 'HFFG']"
1,70,0,1.0,0.9473552137914398,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,81,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,25,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,2,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFFH', 'HHFG']"
1,22,0,1.0,0.7746195551602378,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,50,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,7,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,59,0,1.0,0.8921050870283477,"['SHHH', 'FFFF', 'HHFH', 'HHFG']"
1,37,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,61,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9645880999032158,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'FFFG']"
